supplier_id,supplier_name,country,gmp_certified,risk_tier,sku_id,category,unit_price,currency,minimum_order_quantity,payment_terms_days,lead_time_days,on_time_delivery_pct,fill_rate_pct,quality_score,defect_rate_pct,max_capacity_units_per_month,current_utilization_pct,valid_from,valid_to,suitability_score,is_preferred
SUP-011,NovaBio Group LLC,NL,True,LOW,SKU-PKG-001,Primary Packaging,0.4007,USD,200,45,1,0.9539,0.9634,0.9211,0.01135,48004,0.5187,2025-12-27,,0.5811,False
SUP-012,TerraPharm Distributors Inc.,CA,True,LOW,SKU-EXC-001,Excipient,0.6007,USD,100,45,2,0.9633,0.9101,0.9444,0.00638,38697,0.6966,2026-07-11,,0.8925,True
SUP-013,VisionRx Solutions Ltd.,IN,True,LOW,SKU-API-001,Active Ingredient,2.6653,USD,1000,60,4,0.986,1.0,0.9563,0.01108,5802,0.606,2026-04-30,,0.7036,True
SUP-014,StellarBio International Ltd.,CH,True,LOW,SKU-API-002,Active Ingredient,2.4344,USD,750,60,2,0.944,0.9781,0.9372,0.01288,38901,0.6633,2025-12-24,,0.7515,True
SUP-014,StellarBio International Ltd.,CH,True,LOW,SKU-PKG-001,Primary Packaging,0.3675,USD,500,30,2,0.9556,0.9401,0.9456,0.01628,16153,0.6633,2026-01-31,,0.6679,False
SUP-015,PrimeMed Corporation,CN,True,LOW,SKU-PKG-001,Primary Packaging,0.3898,USD,750,90,4,0.9363,0.8838,0.9047,0.01273,13653,0.5419,2025-12-04,,0.604,False
SUP-015,PrimeMed Corporation,CN,True,LOW,SKU-EXC-001,Excipient,0.5304,USD,250,45,2,0.9853,0.9337,0.9116,0.0087,10197,0.5419,2026-07-01,,0.6738,False
SUP-015,PrimeMed Corporation,CN,True,LOW,SKU-PKG-002,Secondary Packaging,0.209,USD,200,30,1,0.9332,0.9104,0.9414,0.01385,42270,0.5419,2024-08-24,,0.4044,False
SUP-016,ApexRx International Ltd.,CN,True,LOW,SKU-PKG-001,Primary Packaging,0.3975,USD,200,60,3,0.9811,0.9395,0.903,0.00736,16222,0.4727,2025-06-10,,0.4956,False
SUP-017,Vericore Life Sciences Inc.,CN,True,LOW,SKU-EXC-001,Excipient,0.555,USD,100,15,2,0.9524,0.9824,0.9367,0.00632,9803,0.5775,2025-10-05,,0.5398,False
SUP-018,TrueLine Medical Supply,CA,True,LOW,SKU-EXC-001,Excipient,0.5264,USD,500,60,4,0.9806,1.0,0.9632,0.01773,40077,0.4204,2025-04-21,,0.5218,False
SUP-019,PrimeMed Logistics Ltd.,NL,True,LOW,SKU-API-001,Active Ingredient,2.7422,USD,100,30,3,0.9622,0.9477,0.936,0.01615,40286,0.6648,2025-03-21,,0.5397,False
SUP-020,HelixPharm Medical Supply,IN,True,LOW,SKU-PKG-001,Primary Packaging,0.361,USD,250,45,3,0.9384,0.8963,0.9335,0.01042,21538,0.6021,2025-11-01,,0.8232,True
SUP-020,HelixPharm Medical Supply,IN,True,LOW,SKU-API-001,Active Ingredient,2.5525,USD,250,45,2,0.9711,1.0,0.9208,0.01734,43439,0.6021,2025-01-22,,0.711,True
SUP-021,PharmaLink Industries Inc.,CN,True,LOW,SKU-EXC-001,Excipient,0.5657,USD,750,15,2,0.9809,0.9748,0.9457,0.01546,33481,0.6426,2025-12-26,,0.8254,True
SUP-022,VisionRx International Ltd.,JP,True,LOW,SKU-EXC-001,Excipient,0.5836,USD,200,15,1,0.9717,0.9754,0.9603,0.00672,33630,0.5134,2025-05-06,,0.7401,True
SUP-023,CertaPharm Life Sciences Inc.,US,True,LOW,SKU-API-002,Active Ingredient,2.1588,USD,250,45,3,0.9862,1.0,0.9096,0.01747,31716,0.7106,2025-01-13,,0.7947,True
SUP-024,ApexRx Bio-Sciences Ltd.,NL,True,LOW,SKU-EXC-001,Excipient,0.5891,USD,1000,15,4,0.9452,0.9491,0.9413,0.00624,12547,0.6858,2026-04-16,,0.5472,False
SUP-025,Vericore Pharmaceutical Partners,CH,True,LOW,SKU-EXC-001,Excipient,0.569,USD,500,30,3,0.958,0.9839,0.9366,0.01493,27147,0.6491,2025-05-21,,0.7307,True
SUP-025,Vericore Pharmaceutical Partners,CH,True,LOW,SKU-API-001,Active Ingredient,2.8061,USD,100,60,4,0.937,0.9172,0.9061,0.01355,46473,0.6491,2026-02-20,,0.6976,True
SUP-026,CertaPharm Pharmaceutical Partners,CA,True,LOW,SKU-API-001,Active Ingredient,2.5551,USD,500,30,3,0.9839,0.9576,0.9534,0.00852,19150,0.4623,2026-03-27,,0.6585,False
SUP-026,CertaPharm Pharmaceutical Partners,CA,True,LOW,SKU-EXC-001,Excipient,0.5308,USD,1000,90,1,0.9563,0.9527,0.9268,0.01449,47708,0.4623,2025-11-05,,0.7945,True
SUP-027,OmniPharm Logistics Ltd.,GB,True,LOW,SKU-EXC-001,Excipient,0.5606,USD,250,30,4,0.9526,0.9967,0.9691,0.01433,10331,0.5494,2024-11-26,,0.7362,True
SUP-027,OmniPharm Logistics Ltd.,GB,True,LOW,SKU-API-002,Active Ingredient,2.3632,USD,100,90,1,0.9653,0.9498,0.948,0.00516,37517,0.5494,2025-09-16,,0.6519,False
SUP-028,PurePath Industries Inc.,JP,True,LOW,SKU-API-002,Active Ingredient,2.2972,USD,500,30,2,0.9565,0.9803,0.9211,0.01694,9976,0.414,2024-08-16,,0.5916,False
SUP-029,ElitePharma Solutions Ltd.,CH,True,LOW,SKU-EXC-001,Excipient,0.5966,USD,200,60,3,0.9802,0.9901,0.9074,0.01799,11143,0.4494,2025-05-05,,0.5253,False
SUP-030,MedSource Logistics Ltd.,JP,True,LOW,SKU-API-001,Active Ingredient,2.7918,USD,750,15,1,0.9317,0.9549,0.9169,0.00686,13919,0.6186,2024-10-15,,0.6744,False
SUP-030,MedSource Logistics Ltd.,JP,True,LOW,SKU-API-002,Active Ingredient,2.3703,USD,100,30,4,0.9303,0.9565,0.9036,0.01288,48344,0.6186,2025-12-26,,0.673,False
SUP-031,UltraRx Distributors Inc.,IN,True,LOW,SKU-EXC-001,Excipient,0.5227,USD,750,45,15,0.9441,0.9579,0.9649,0.01681,42709,0.6734,2026-06-17,,0.4677,False
SUP-032,PharmaLink Bio-Sciences Ltd.,SG,True,LOW,SKU-API-002,Active Ingredient,2.2022,USD,100,15,9,0.9204,0.9525,0.9522,0.01482,25195,0.7403,2024-12-22,,0.6245,False
SUP-032,PharmaLink Bio-Sciences Ltd.,SG,True,LOW,SKU-API-001,Active Ingredient,2.4961,USD,500,15,14,0.9017,0.9051,0.9497,0.01972,7452,0.7403,2025-05-09,,0.6154,False
SUP-033,TrueLine Solutions Ltd.,CH,True,LOW,SKU-EXC-001,Excipient,0.5213,USD,1000,90,10,0.9368,0.8888,0.9121,0.00728,21937,0.5477,2025-05-27,,0.6868,False
SUP-034,SpectraRx Medical Supply,JP,False,MEDIUM,SKU-API-002,Active Ingredient,2.4176,USD,500,45,12,0.9309,0.9744,0.9401,0.00803,18560,0.5611,2025-06-05,,0.4287,False
SUP-035,MedPharm International Ltd.,IN,True,LOW,SKU-API-001,Active Ingredient,2.7089,USD,500,45,11,0.9552,0.9337,0.9104,0.01312,46118,0.5909,2026-04-16,,0.701,True
SUP-035,MedPharm International Ltd.,IN,True,LOW,SKU-EXC-001,Excipient,0.5296,USD,250,90,9,0.9022,0.9055,0.9213,0.01199,33558,0.5909,2025-09-30,,0.51,False
SUP-036,CoreMed Bio-Sciences Ltd.,GB,True,LOW,SKU-EXC-001,Excipient,0.5543,USD,200,45,15,0.9271,0.9073,0.9222,0.0065,26477,0.5068,2026-04-03,,0.7277,True
SUP-037,CertaPharm Supply Co.,GB,False,HIGH,SKU-EXC-001,Excipient,0.5915,USD,500,30,5,0.8409,0.8492,0.7283,0.06744,19229,0.639,2025-01-10,,0.2499,False
SUP-038,OmniPharm Distributors Inc.,GB,True,HIGH,SKU-API-002,Active Ingredient,2.4232,USD,250,90,5,0.8463,0.8647,0.6805,0.06338,30124,0.7427,2026-04-17,,0.6631,False
SUP-039,UltraRx Logistics Ltd.,JP,False,HIGH,SKU-API-002,Active Ingredient,2.4063,USD,250,15,9,0.8368,0.8673,0.742,0.05743,27236,0.6681,2026-04-25,,0.2777,False
SUP-039,UltraRx Logistics Ltd.,JP,False,HIGH,SKU-EXC-001,Excipient,0.5465,USD,1000,30,9,0.795,0.75,0.6693,0.05802,37885,0.6681,2026-05-30,,0.2435,False
SUP-040,PeakMed International Ltd.,GB,False,HIGH,SKU-EXC-001,Excipient,0.5413,USD,200,60,8,0.8644,0.8128,0.7499,0.05917,32038,0.8009,2026-04-23,,0.1385,False
SUP-041,BioNexus Logistics Ltd.,NL,True,LOW,SKU-EXC-001,Excipient,0.4431,USD,1000,60,5,0.9496,0.9621,0.8972,0.02277,11482,0.6117,2025-02-03,,0.7618,True
SUP-042,VisionRx Industries Inc.,US,True,LOW,SKU-EXC-001,Excipient,0.4618,USD,750,45,4,0.861,0.8107,0.8409,0.02813,12465,0.7581,2024-12-06,,0.5961,False
SUP-043,BioAssure Distributors Inc.,IN,True,LOW,SKU-PKG-002,Secondary Packaging,0.1941,USD,500,30,7,0.9355,0.9193,0.919,0.01854,42933,0.7091,2025-11-27,,0.7148,True
SUP-043,BioAssure Distributors Inc.,IN,True,LOW,SKU-EXC-001,Excipient,0.4695,USD,200,90,3,0.899,0.8507,0.8669,0.01877,45820,0.7091,2026-06-14,,0.8827,True
SUP-044,AxisPharma Life Sciences Inc.,GB,False,MEDIUM,SKU-EXC-001,Excipient,0.4342,USD,200,30,3,0.9041,0.8442,0.8786,0.02733,17099,0.5656,2024-12-03,,0.344,False
SUP-045,MedSource Pharma Corp.,CH,True,LOW,SKU-EXC-001,Excipient,0.4615,USD,750,60,7,0.9184,0.8554,0.887,0.03407,21497,0.7579,2025-07-02,,0.7441,True
SUP-046,Vericore Trading Co.,CA,False,MEDIUM,SKU-API-002,Active Ingredient,1.8144,USD,1000,90,7,0.9034,0.894,0.8969,0.0363,24389,0.7478,2025-12-14,,0.3225,False
SUP-047,UltraRx Industries Inc.,DE,True,LOW,SKU-EXC-001,Excipient,0.4759,USD,100,90,5,0.8907,0.8333,0.8699,0.02829,22935,0.5934,2024-10-10,,0.6614,False
SUP-048,BioAssure Industries Inc.,DE,True,LOW,SKU-EXC-001,Excipient,0.4611,USD,200,45,4,0.8905,0.9318,0.8392,0.01562,36086,0.5567,2025-09-24,,0.8081,True
SUP-048,BioAssure Industries Inc.,DE,True,LOW,SKU-API-002,Active Ingredient,1.8866,USD,750,90,4,0.8607,0.8668,0.8478,0.03258,49182,0.5567,2025-05-07,,0.7325,True
SUP-049,PeakMed Corporation,SG,True,LOW,SKU-API-001,Active Ingredient,2.1034,USD,750,90,7,0.9413,0.9651,0.8921,0.03908,25733,0.7025,2026-05-25,,0.8828,True
SUP-049,PeakMed Corporation,SG,True,LOW,SKU-EXC-001,Excipient,0.4679,USD,100,15,3,0.8996,0.946,0.8753,0.03135,49306,0.7025,2025-12-25,,0.7191,True
SUP-050,UltraRx Trading Co.,CN,False,MEDIUM,SKU-PKG-002,Secondary Packaging,0.1872,USD,750,45,7,0.8912,0.9145,0.8324,0.01602,48347,0.5017,2024-11-09,,0.7463,True
SUP-050,UltraRx Trading Co.,CN,False,MEDIUM,SKU-API-001,Active Ingredient,2.0995,USD,200,45,7,0.948,0.8882,0.8612,0.03484,29996,0.5017,2024-12-30,,0.4084,False
SUP-051,TrueLine International Ltd.,NL,True,LOW,SKU-API-001,Active Ingredient,2.2443,USD,750,60,5,0.8633,0.8064,0.8573,0.01622,46921,0.524,2025-01-27,,0.7725,True
SUP-052,SpectraRx Healthcare Supply,IN,True,LOW,SKU-API-002,Active Ingredient,1.9352,USD,1000,15,6,0.9379,0.8738,0.8939,0.03502,15554,0.4527,2025-05-06,,0.6852,False
SUP-052,SpectraRx Healthcare Supply,IN,True,LOW,SKU-API-001,Active Ingredient,2.2233,USD,100,90,5,0.9063,0.8845,0.8877,0.01574,36492,0.4527,2025-05-13,,0.7159,True
SUP-053,Vericore Group LLC,US,True,LOW,SKU-EXC-001,Excipient,0.4345,USD,750,45,6,0.9368,0.9027,0.8548,0.03633,31565,0.7412,2025-10-10,,0.7471,True
SUP-054,MedSource Corporation,CN,True,LOW,SKU-API-001,Active Ingredient,2.0396,USD,1000,90,5,0.8769,0.893,0.8285,0.02355,24120,0.696,2025-07-06,,0.6659,False
SUP-055,ApexRx Pharmaceutical Partners,IN,True,LOW,SKU-API-001,Active Ingredient,2.0464,USD,1000,60,7,0.8967,0.9464,0.8337,0.02937,36540,0.7109,2025-05-24,,0.7753,True
SUP-056,PeakMed Group LLC,IN,False,MEDIUM,SKU-PKG-002,Secondary Packaging,0.178,USD,1000,30,5,0.9047,0.8428,0.8334,0.02413,20789,0.7389,2025-06-22,,0.8505,True
SUP-056,PeakMed Group LLC,IN,False,MEDIUM,SKU-EXC-001,Excipient,0.4491,USD,1000,45,3,0.9171,0.9622,0.8543,0.02551,38839,0.7389,2025-07-01,,0.4978,False
SUP-057,ClearPath International Ltd.,CA,True,LOW,SKU-EXC-001,Excipient,0.4377,USD,1000,60,4,0.8812,0.8747,0.8525,0.03773,49280,0.6198,2026-02-14,,0.8932,True
SUP-058,VisionRx Pharma Corp.,CH,True,LOW,SKU-EXC-001,Excipient,0.4626,USD,250,15,5,0.8869,0.8356,0.8441,0.02306,44345,0.6604,2025-12-29,,0.855,True
SUP-059,MedSource Bio-Sciences Ltd.,CA,True,LOW,SKU-API-002,Active Ingredient,1.8763,USD,750,60,4,0.9305,0.9799,0.8638,0.02691,31506,0.5017,2026-01-17,,0.7289,True
SUP-060,BioNexus Supply Co.,IN,True,LOW,SKU-PKG-001,Primary Packaging,0.3196,USD,250,30,7,0.9309,0.8731,0.8385,0.02905,34382,0.4924,2024-09-14,,0.7064,True
SUP-061,PrimeMed Solutions Ltd.,SG,True,LOW,SKU-EXC-001,Excipient,0.4531,USD,250,30,7,0.8632,0.7981,0.916,0.01758,7306,0.6973,2025-06-09,,0.6628,False
SUP-062,PurePath Distributors Inc.,IN,True,LOW,SKU-EXC-001,Excipient,0.4492,USD,500,60,3,0.9064,0.8498,0.8513,0.01627,22303,0.6243,2026-06-03,,0.7771,True
SUP-063,PurePath Group LLC,IN,True,LOW,SKU-API-002,Active Ingredient,1.9142,USD,200,15,5,0.8872,0.8174,0.8594,0.02542,18049,0.6591,2025-09-28,,0.67,False
SUP-064,BioNexus Industries Inc.,CA,True,LOW,SKU-API-002,Active Ingredient,1.7208,USD,500,45,7,0.9057,0.8875,0.869,0.02333,40126,0.733,2024-12-03,,0.8903,True
SUP-065,PharmaLink Medical Supply,CA,True,LOW,SKU-API-001,Active Ingredient,2.035,USD,200,30,4,0.8818,0.8392,0.868,0.03208,38478,0.6848,2026-01-23,,0.795,True
SUP-066,VisionRx Supply Co.,CA,True,LOW,SKU-EXC-001,Excipient,0.4218,USD,200,15,7,0.9015,0.8372,0.8912,0.01876,11219,0.6548,2024-10-09,,0.7383,True
SUP-067,PeakMed Industries Inc.,IN,True,LOW,SKU-PKG-001,Primary Packaging,0.2794,USD,200,45,7,0.8628,0.8218,0.8311,0.0305,8998,0.6569,2026-02-04,,0.8262,True
SUP-068,CoreMed Life Sciences Inc.,US,True,LOW,SKU-PKG-001,Primary Packaging,0.3172,USD,1000,90,5,0.8604,0.8099,0.9053,0.03048,39782,0.5625,2024-11-23,,0.5081,False
SUP-068,CoreMed Life Sciences Inc.,US,True,LOW,SKU-API-002,Active Ingredient,1.7911,USD,1000,90,4,0.9009,0.8743,0.8803,0.03962,38037,0.5625,2026-04-02,,0.6189,False
SUP-069,VisionRx Bio-Sciences Ltd.,CN,False,MEDIUM,SKU-PKG-001,Primary Packaging,0.2472,USD,750,90,4,0.946,0.9141,0.8973,0.01321,8514,0.5092,2026-06-25,,0.915,True
SUP-070,BioAssure Healthcare Supply,CN,True,LOW,SKU-EXC-001,Excipient,0.3443,USD,100,30,4,0.9199,0.9385,0.938,0.01762,42168,0.631,2026-04-19,,0.9033,True
SUP-071,AxisPharma Distributors Inc.,DE,True,LOW,SKU-API-001,Active Ingredient,1.6741,USD,750,15,7,0.9176,0.8684,0.8915,0.0174,27828,0.5644,2024-08-19,,0.835,True
SUP-072,TerraPharm Healthcare Supply,GB,True,LOW,SKU-EXC-001,Excipient,0.3242,USD,100,90,7,0.9696,1.0,0.9268,0.0089,9099,0.6226,2025-09-28,,0.8087,True
SUP-073,PurePath Bio-Sciences Ltd.,JP,True,LOW,SKU-EXC-001,Excipient,0.3604,USD,250,90,5,0.9264,0.8918,0.884,0.01592,34863,0.756,2024-12-06,,0.8546,True
SUP-074,BioAssure Logistics Ltd.,CN,True,LOW,SKU-EXC-001,Excipient,0.3251,USD,500,45,3,0.9239,0.9272,0.9499,0.0108,13336,0.5702,2025-07-12,,1.0,True
SUP-074,BioAssure Logistics Ltd.,CN,True,LOW,SKU-PKG-001,Primary Packaging,0.2424,USD,100,90,4,0.9535,1.0,0.9254,0.01838,23867,0.5702,2025-07-20,,0.9313,True
SUP-075,ApexRx Corporation,JP,True,LOW,SKU-EXC-001,Excipient,0.3247,USD,750,30,3,0.9412,0.978,0.9126,0.00841,34584,0.5175,2026-03-25,,0.9431,True
SUP-076,CertaPharm Distributors Inc.,US,True,LOW,SKU-PKG-001,Primary Packaging,0.2218,USD,1000,30,6,0.9677,1.0,0.8943,0.00999,46067,0.5844,2026-02-17,,0.8471,True
SUP-076,CertaPharm Distributors Inc.,US,True,LOW,SKU-EXC-001,Excipient,0.3515,USD,750,60,7,0.9627,0.9817,0.9103,0.01476,34375,0.5844,2025-07-06,,0.8267,True
SUP-077,SpectraRx Pharma Corp.,JP,True,LOW,SKU-API-001,Active Ingredient,1.8356,USD,500,15,3,0.8494,0.8752,0.8704,0.04624,9493,0.6381,2026-02-22,,0.6601,False
SUP-078,SpectraRx Supply Co.,DE,True,LOW,SKU-API-001,Active Ingredient,1.883,USD,100,30,2,0.9281,0.9646,0.8177,0.04214,33294,0.7486,2025-05-02,,0.8446,True
SUP-079,Vericore International Ltd.,CN,True,LOW,SKU-EXC-001,Excipient,0.3956,USD,500,15,1,0.8923,0.9345,0.8209,0.03885,26044,0.7171,2026-02-28,,0.9074,True
SUP-079,Vericore International Ltd.,CN,True,LOW,SKU-API-001,Active Ingredient,1.783,USD,250,90,2,0.8518,0.8225,0.7963,0.04117,6065,0.7171,2025-02-21,,0.7108,True
SUP-080,AxisPharma Corporation,CN,True,LOW,SKU-EXC-001,Excipient,0.3658,USD,1000,45,1,0.9078,0.8621,0.8681,0.02979,13359,0.7852,2025-07-15,,0.8603,True
SUP-081,Vericore Solutions Ltd.,CH,True,MEDIUM,SKU-EXC-001,Excipient,0.3805,USD,200,45,7,0.8341,0.8424,0.8281,0.05378,35307,0.7325,2024-11-03,,0.6743,False
SUP-082,CertaPharm Pharma Corp.,GB,True,MEDIUM,SKU-API-002,Active Ingredient,1.5084,USD,100,60,5,0.8565,0.8947,0.8565,0.0513,49306,0.6422,2024-08-26,,0.7539,True
SUP-083,ZenithMed Group LLC,CN,True,MEDIUM,SKU-EXC-001,Excipient,0.411,USD,100,90,8,0.8424,0.784,0.8104,0.04159,41743,0.7849,2025-02-10,,0.7239,True
SUP-084,GlobalRx International Ltd.,GB,True,MEDIUM,SKU-API-002,Active Ingredient,1.5835,USD,250,45,8,0.8449,0.8771,0.8053,0.02981,31290,0.5584,2025-02-15,,0.5655,False
SUP-085,MedPharm Healthcare Supply,CH,True,MEDIUM,SKU-EXC-001,Excipient,0.3697,USD,250,90,10,0.8664,0.8212,0.856,0.04817,32152,0.5079,2025-10-02,,0.8046,True
SUP-086,NovaBio Supply Co.,JP,False,HIGH,SKU-PKG-001,Primary Packaging,0.2716,USD,500,15,5,0.839,0.7905,0.8065,0.05039,23610,0.5315,2025-09-03,,0.8185,True
SUP-087,ClearPath Logistics Ltd.,NL,True,MEDIUM,SKU-API-002,Active Ingredient,1.5065,USD,750,30,10,0.9066,0.9003,0.8675,0.03518,37398,0.7528,2025-11-24,,0.747,True
SUP-088,AxisPharma Pharmaceutical Partners,NL,False,HIGH,SKU-PKG-001,Primary Packaging,0.2408,USD,200,45,6,0.9146,0.9067,0.8688,0.04832,27077,0.6617,2025-07-09,,0.6449,False
SUP-089,OmniPharm Life Sciences Inc.,JP,True,MEDIUM,SKU-API-002,Active Ingredient,1.582,USD,250,90,9,0.8419,0.8297,0.7926,0.05357,42544,0.5564,2026-04-04,,0.638,False
SUP-090,ProMed Bio-Sciences Ltd.,JP,True,MEDIUM,SKU-API-001,Active Ingredient,1.801,USD,100,15,5,0.8487,0.793,0.8053,0.0259,46259,0.6754,2025-12-02,,0.877,True
SUP-091,StellarBio Industries Inc.,GB,True,MEDIUM,SKU-PKG-001,Primary Packaging,0.2595,USD,250,90,5,0.866,0.9146,0.8332,0.03062,11415,0.5533,2024-12-20,,0.5722,False
SUP-092,NovaBio Pharma Corp.,DE,False,HIGH,SKU-API-002,Active Ingredient,1.5644,USD,1000,15,9,0.8438,0.7798,0.8721,0.03524,20408,0.7437,2025-01-05,,0.3738,False
SUP-092,NovaBio Pharma Corp.,DE,False,HIGH,SKU-EXC-001,Excipient,0.3902,USD,750,60,5,0.9014,0.884,0.8012,0.05271,17924,0.7437,2025-02-02,,0.298,False
SUP-093,AxisPharma Supply Co.,JP,True,MEDIUM,SKU-EXC-001,Excipient,0.4136,USD,250,60,5,0.8553,0.8008,0.7862,0.03875,11854,0.6562,2025-04-28,,0.8237,True
SUP-094,AlphaRx Corporation,CN,True,MEDIUM,SKU-EXC-001,Excipient,0.3758,USD,1000,45,5,0.8587,0.8679,0.8526,0.03883,34621,0.6334,2026-05-25,,0.7652,True
SUP-095,BioNexus International Ltd.,GB,True,MEDIUM,SKU-API-001,Active Ingredient,1.9173,USD,500,90,7,0.8608,0.8923,0.7977,0.04534,6811,0.6055,2025-09-03,,0.7615,True
SUP-096,ClearPath Pharma Corp.,US,True,MEDIUM,SKU-EXC-001,Excipient,0.4072,USD,750,90,9,0.9193,0.8856,0.8331,0.0448,21253,0.7206,2025-03-02,,0.7835,True
SUP-097,NexGen Life Sciences Inc.,GB,True,MEDIUM,SKU-EXC-001,Excipient,0.3975,USD,750,30,7,0.8663,0.8574,0.8362,0.04659,45819,0.6266,2025-09-25,,0.913,True
SUP-098,CertaPharm Bio-Sciences Ltd.,DE,True,MEDIUM,SKU-API-001,Active Ingredient,1.8282,USD,250,60,7,0.8667,0.8077,0.824,0.02877,19619,0.5307,2026-04-14,,0.7359,True
SUP-099,PurePath Healthcare Supply,JP,True,MEDIUM,SKU-API-002,Active Ingredient,1.6147,USD,1000,60,8,0.8318,0.8552,0.8127,0.03093,43729,0.5413,2026-01-24,,0.768,True
SUP-100,CoreMed Distributors Inc.,IN,True,MEDIUM,SKU-EXC-001,Excipient,0.3931,USD,100,90,6,0.8548,0.8658,0.7939,0.03351,46148,0.8367,2025-02-11,,0.644,False
SUP-101,AxisPharma Trading Co.,DE,True,MEDIUM,SKU-API-001,Active Ingredient,1.5874,USD,200,15,10,0.8772,0.8378,0.8348,0.05135,33147,0.8498,2025-12-03,,0.8658,True
SUP-102,StellarBio Group LLC,CH,True,MEDIUM,SKU-API-002,Active Ingredient,1.5108,USD,250,60,13,0.8754,0.9104,0.7326,0.044,48311,0.7809,2025-11-03,,0.6081,False
SUP-103,NexGen Logistics Ltd.,US,True,MEDIUM,SKU-PKG-001,Primary Packaging,0.2433,USD,250,90,12,0.8939,0.8827,0.7654,0.04906,33449,0.6377,2025-11-23,,0.6239,False
SUP-104,AxisPharma Pharma Corp.,US,True,MEDIUM,SKU-API-001,Active Ingredient,1.4998,USD,1000,60,12,0.9016,0.921,0.8228,0.06424,49854,0.8698,2026-02-02,,0.7607,True
SUP-105,MedSource International Ltd.,IN,False,HIGH,SKU-API-001,Active Ingredient,1.5693,USD,200,45,15,0.8502,0.8149,0.7564,0.05257,16601,0.807,2025-05-31,,0.2042,False
SUP-106,CoreMed Pharma Corp.,SG,True,MEDIUM,SKU-API-002,Active Ingredient,1.3642,USD,200,30,11,0.8898,0.8207,0.8247,0.03587,6762,0.7866,2025-08-31,,0.7945,True
SUP-107,PurePath Logistics Ltd.,CN,False,HIGH,SKU-API-001,Active Ingredient,1.6747,USD,250,30,15,0.8152,0.792,0.8152,0.03405,49938,0.6983,2026-03-02,,0.4633,False
SUP-108,TerraPharm Bio-Sciences Ltd.,DE,False,HIGH,SKU-API-001,Active Ingredient,1.4733,USD,250,15,9,0.8682,0.8066,0.8326,0.06433,47231,0.6398,2025-05-29,,0.478,False
SUP-109,MedPharm Logistics Ltd.,NL,False,HIGH,SKU-API-002,Active Ingredient,1.3281,USD,500,15,15,0.8973,0.9272,0.803,0.03391,12936,0.5818,2025-09-22,,0.2212,False
