order_id,medicine_type,order_quantity,urgency_level,unit_quote_price_usd,lead_time_days,supplier_reliability,on_time_delivery_rate,defect_rate_pct,cold_chain_compliance_pct,selected_supplier
ORD-00034,Cardiovascular Drug,2500,High,171.7,5,0.852,0.873,0.89,96.9,Aegis Health Supplies
ORD-00035,Painkiller,5000,High,45.97,6,0.972,0.854,0.32,96.2,MediCore Labs
ORD-00036,Vaccine,1000,High,308.48,7,0.891,0.959,1.09,97.7,Vanguard Pharma
ORD-00037,Cardiovascular Drug,2500,Medium,164.68,6,0.954,0.859,0.91,96.8,Aegis Health Supplies
ORD-00038,Vaccine,500,High,329.66,7,0.909,0.932,0.1,95.9,Quantum Health Sciences
ORD-00039,Antihistamine,250,High,60.19,7,0.92,0.937,0.91,97.7,NovaCure Therapeutics
ORD-00040,Antihistamine,5000,High,63.66,6,0.87,0.845,0.56,97.5,Aegis Health Supplies
ORD-00041,Insulin,5000,Standard,237.15,7,0.945,0.898,0.01,95.7,Apex BioPharma
ORD-00042,Antiviral,1000,Standard,187.66,5,0.806,0.938,0.27,96.0,Vanguard Pharma
ORD-00043,Vaccine,100,High,281.82,5,0.894,0.955,0.72,96.2,OmniHealth Labs
ORD-00044,Antibiotic,2500,Medium,140.33,5,0.944,0.925,0.01,97.9,NovaCure Therapeutics
ORD-00045,Antibiotic,5000,Medium,124.22,8,0.942,0.9,1.11,96.1,Bharat BioLogics
ORD-00046,Chemotherapy Agent,2500,High,481.67,10,0.938,0.878,1.0,99.1,Serum Horizon Global
ORD-00047,Antihistamine,500,Standard,61.33,4,0.914,0.794,0.15,96.4,Aegis Health Supplies
ORD-00048,Chemotherapy Agent,250,Standard,480.53,7,0.844,0.958,1.12,97.7,Serum Horizon Global
ORD-00049,Insulin,5000,Medium,208.27,4,0.885,0.915,0.68,97.1,VitalCare Pharmaceuticals
ORD-00050,Immunosuppressant,100,Medium,353.13,5,0.893,0.959,0.48,94.2,OmniHealth Labs
ORD-00051,Vaccine,100,High,309.45,8,0.944,0.944,1.53,96.8,Vanguard Pharma
ORD-00052,Painkiller,2500,Standard,51.03,6,0.942,0.849,0.01,98.4,MediCore Labs
ORD-00053,Antibiotic,2500,Medium,139.61,7,0.899,0.817,0.01,98.6,BioMatrix International
ORD-00054,Antihistamine,1000,Medium,69.06,11,0.929,1.0,1.57,98.3,NovaCure Therapeutics
ORD-00055,Monoclonal Antibody,100,Medium,6206.32,4,0.933,0.922,1.4,95.7,MediCore Labs
ORD-00056,Antibiotic,100,High,131.94,4,0.983,0.945,0.55,98.0,NovaCure Therapeutics
ORD-00057,Vaccine,2500,Standard,261.61,5,0.966,1.0,0.87,97.8,OmniHealth Labs
ORD-00058,Immunosuppressant,250,High,387.74,6,0.902,1.0,1.02,93.7,OmniHealth Labs
ORD-00059,Vaccine,250,Standard,295.97,10,0.951,0.85,1.11,95.5,Summit BioSolutions
ORD-00060,Antihistamine,2500,Standard,61.1,4,0.905,0.856,0.7,96.3,Aegis Health Supplies
ORD-00061,Painkiller,5000,High,46.22,4,0.958,0.862,0.38,95.8,MediCore Labs
ORD-00062,Chemotherapy Agent,500,High,454.27,2,0.845,0.843,0.19,97.8,Beacon Pharmaceuticals
ORD-00063,Insulin,500,Standard,208.17,7,0.953,0.963,0.9,97.4,OmniHealth Labs
ORD-00064,Vaccine,100,High,281.64,7,0.966,0.978,0.45,96.5,OmniHealth Labs
ORD-00065,Vaccine,100,Standard,290.47,5,0.887,0.915,0.63,94.3,OmniHealth Labs
ORD-00066,Antiviral,100,Standard,211.25,4,0.924,0.805,0.54,94.4,Pulse Generic Pharma
ORD-00067,Painkiller,250,Standard,46.95,6,0.933,0.763,0.02,96.7,MediCore Labs
ORD-00068,Antibiotic,5000,Standard,98.58,9,0.997,0.931,0.8,97.6,PharmaTrust Global
ORD-00069,Antibiotic,500,Medium,124.99,6,0.921,0.868,0.45,97.8,BioMatrix International
ORD-00070,Monoclonal Antibody,100,Medium,5051.48,8,0.868,0.951,0.62,93.8,CryoSafe LifeSciences
ORD-00071,Chemotherapy Agent,100,Standard,493.18,7,0.969,0.861,1.06,100.0,Serum Horizon Global
ORD-00072,Monoclonal Antibody,2500,Standard,5418.47,5,0.94,0.958,0.93,97.5,MediCore Labs
ORD-00073,Antiviral,1000,High,184.13,3,0.929,0.851,0.39,96.3,Vanguard Pharma
ORD-00074,Cardiovascular Drug,250,Medium,165.41,6,0.878,0.892,0.01,96.5,NovaCure Therapeutics
ORD-00075,Antiviral,100,Medium,250.53,11,0.839,0.871,0.58,98.5,GlobalRx Supply Chain
ORD-00076,Antiviral,2500,Standard,239.48,11,0.904,0.896,0.22,97.2,GlobalRx Supply Chain
ORD-00077,Monoclonal Antibody,5000,Medium,5265.66,7,0.958,0.977,1.09,97.2,MediCore Labs
ORD-00078,Antiviral,500,High,214.76,4,0.892,0.858,0.01,97.6,Vanguard Pharma
ORD-00079,Monoclonal Antibody,500,High,4941.4,8,0.953,0.949,1.49,95.2,MediCore Labs
ORD-00080,Monoclonal Antibody,100,Standard,4540.91,6,0.887,0.969,1.21,100.0,Pulse Generic Pharma
ORD-00081,Insulin,250,Standard,227.08,6,0.957,0.915,1.17,97.5,OmniHealth Labs
ORD-00082,Monoclonal Antibody,100,Medium,5669.08,8,0.975,0.956,1.1,97.1,MediCore Labs
ORD-00083,Antiviral,500,Medium,163.25,6,0.858,0.861,0.16,95.4,Vanguard Pharma
ORD-00084,Painkiller,100,Standard,43.29,4,0.865,0.874,0.84,98.7,Apex BioPharma
ORD-00085,Antiviral,5000,Medium,214.06,1,0.969,0.815,0.42,96.0,MediCore Labs
ORD-00086,Antiviral,500,Medium,220.8,6,0.951,0.858,0.42,96.2,Pulse Generic Pharma
ORD-00087,Immunosuppressant,500,Medium,416.29,6,0.958,0.969,0.65,95.0,OmniHealth Labs
ORD-00088,Chemotherapy Agent,2500,Standard,491.88,11,0.901,0.874,1.28,100.0,Serum Horizon Global
ORD-00089,Antibiotic,2500,Standard,120.6,9,0.921,0.942,0.49,98.2,PharmaTrust Global
ORD-00090,Vaccine,2500,Medium,297.21,5,0.95,0.87,0.04,97.4,Quantum Health Sciences
ORD-00091,Antiviral,2500,Standard,208.69,4,0.896,0.874,0.43,96.7,Vanguard Pharma
ORD-00092,Painkiller,5000,Medium,41.97,1,0.906,0.843,0.34,94.2,Beacon Pharmaceuticals
ORD-00093,Antiviral,250,High,214.67,3,0.89,0.897,0.37,96.8,MediCore Labs
ORD-00094,Insulin,250,Standard,253.41,4,0.913,0.902,0.47,98.0,VitalCare Pharmaceuticals
ORD-00095,Cardiovascular Drug,250,High,145.2,8,0.989,0.905,1.2,95.1,CryoSafe LifeSciences
ORD-00096,Cardiovascular Drug,2500,Standard,191.58,8,0.866,0.946,0.32,98.4,NovaCure Therapeutics
ORD-00097,Painkiller,2500,High,39.03,7,0.989,0.964,1.26,94.7,BioMatrix International
ORD-00098,Chemotherapy Agent,2500,Standard,444.9,9,0.926,0.883,1.03,100.0,Serum Horizon Global
ORD-00099,Vaccine,5000,Standard,287.08,5,0.884,0.948,0.75,97.7,OmniHealth Labs
ORD-00100,Monoclonal Antibody,2500,Standard,5303.48,6,0.921,0.953,1.33,96.4,Zenith LifeSciences
ORD-00101,Monoclonal Antibody,500,High,4787.93,4,0.929,0.905,1.1,99.7,Pulse Generic Pharma
ORD-00102,Chemotherapy Agent,2500,Standard,394.93,1,0.859,0.81,0.01,95.0,Beacon Pharmaceuticals
ORD-00103,Cardiovascular Drug,100,Medium,171.99,6,0.946,0.923,0.67,97.1,Aegis Health Supplies
ORD-00104,Immunosuppressant,250,Medium,344.7,5,0.94,0.951,0.45,93.4,OmniHealth Labs
ORD-00105,Vaccine,1000,Medium,313.21,6,0.934,0.953,0.96,97.4,OmniHealth Labs
ORD-00106,Vaccine,2500,Medium,278.4,8,0.865,0.875,0.75,98.2,OmniHealth Labs
ORD-00107,Antibiotic,100,Standard,114.71,4,0.915,0.84,1.55,93.0,Zenith LifeSciences
ORD-00108,Immunosuppressant,1000,Medium,392.12,4,0.928,0.921,0.44,93.7,OmniHealth Labs
ORD-00109,Painkiller,2500,Medium,42.34,4,0.849,0.847,0.34,96.2,Beacon Pharmaceuticals
ORD-00110,Painkiller,250,High,42.89,3,0.924,0.796,0.68,96.5,Beacon Pharmaceuticals
ORD-00111,Monoclonal Antibody,500,Standard,5548.72,5,0.978,1.0,1.2,97.8,MediCore Labs
ORD-00112,Antibiotic,5000,High,136.28,6,0.92,0.842,1.04,95.4,Bharat BioLogics
ORD-00113,Vaccine,5000,High,283.26,5,1.0,0.909,0.74,98.7,OmniHealth Labs
ORD-00114,Monoclonal Antibody,1000,Standard,5903.63,8,0.932,0.993,1.06,93.3,Zenith LifeSciences
ORD-00115,Monoclonal Antibody,2500,High,5848.58,5,0.991,0.978,1.28,96.9,MediCore Labs
ORD-00116,Insulin,500,Medium,228.2,6,0.978,0.856,0.53,94.4,Apex BioPharma
ORD-00117,Antibiotic,500,Standard,122.51,7,0.971,0.957,0.16,95.7,PharmaTrust Global
ORD-00118,Cardiovascular Drug,2500,Medium,175.13,10,0.943,0.881,0.6,94.9,CryoSafe LifeSciences
ORD-00119,Vaccine,1000,Medium,292.25,7,0.929,0.894,0.44,96.7,OmniHealth Labs
ORD-00120,Antibiotic,2500,High,145.34,9,0.977,0.993,0.57,98.3,PharmaTrust Global
ORD-00121,Immunosuppressant,2500,Standard,390.67,5,0.891,0.995,0.58,94.5,OmniHealth Labs
ORD-00122,Immunosuppressant,1000,High,322.08,7,1.0,0.927,0.31,95.6,OmniHealth Labs
ORD-00123,Monoclonal Antibody,5000,High,4498.05,1,0.891,0.962,1.01,92.6,VitalCare Pharmaceuticals
ORD-00124,Vaccine,500,Medium,342.81,5,0.939,0.92,0.47,97.3,Quantum Health Sciences
ORD-00125,Cardiovascular Drug,5000,Medium,158.78,7,0.944,0.921,0.85,96.5,Aegis Health Supplies
ORD-00126,Antihistamine,500,High,61.86,8,0.95,0.985,1.38,98.8,NovaCure Therapeutics
ORD-00127,Antihistamine,2500,Standard,54.93,4,0.925,0.869,0.21,96.6,Pulse Generic Pharma
ORD-00128,Antiviral,250,Medium,194.36,4,0.871,0.87,0.85,95.5,MediCore Labs
ORD-00129,Immunosuppressant,500,Medium,417.41,5,0.866,0.969,0.47,95.6,OmniHealth Labs
ORD-00130,Painkiller,2500,Standard,42.52,5,0.855,0.794,0.31,95.4,Beacon Pharmaceuticals
ORD-00131,Insulin,250,High,214.62,6,0.967,0.809,0.17,97.4,Apex BioPharma
ORD-00132,Monoclonal Antibody,100,Standard,4870.68,6,0.957,0.935,1.35,96.2,MediCore Labs
ORD-00133,Monoclonal Antibody,250,Standard,5468.81,4,0.884,0.992,0.9,94.3,Zenith LifeSciences
ORD-00134,Insulin,1000,Medium,243.18,7,0.869,0.96,0.98,94.9,PharmaTrust Global
ORD-00135,Monoclonal Antibody,500,Medium,5351.44,4,1.0,0.928,1.6,97.1,MediCore Labs
ORD-00136,Painkiller,1000,Medium,47.36,3,0.878,0.84,0.64,94.2,Beacon Pharmaceuticals
ORD-00137,Cardiovascular Drug,500,Medium,162.63,7,0.921,0.857,0.46,95.0,CryoSafe LifeSciences
ORD-00138,Antibiotic,100,Medium,131.23,4,0.888,0.832,0.57,98.0,NovaCure Therapeutics
ORD-00139,Monoclonal Antibody,100,Medium,5478.54,5,0.941,1.0,1.33,98.3,MediCore Labs
ORD-00140,Monoclonal Antibody,500,Medium,4577.62,5,0.815,1.0,1.16,99.1,Pulse Generic Pharma
ORD-00141,Cardiovascular Drug,100,Standard,187.21,9,0.855,0.909,0.74,98.1,NovaCure Therapeutics
ORD-00142,Antihistamine,1000,Standard,60.18,11,0.911,0.989,0.82,99.0,NovaCure Therapeutics
ORD-00143,Vaccine,5000,Standard,255.89,8,0.884,0.896,0.85,97.1,OmniHealth Labs
ORD-00144,Immunosuppressant,100,Standard,384.31,5,0.963,0.97,0.9,94.3,OmniHealth Labs
ORD-00145,Vaccine,2500,Standard,348.2,5,0.92,0.902,0.83,97.7,Quantum Health Sciences
ORD-00146,Antihistamine,2500,Medium,61.49,5,0.826,0.837,0.15,96.7,Pulse Generic Pharma
ORD-00147,Monoclonal Antibody,100,Medium,4391.71,7,0.879,0.977,1.1,97.9,Pulse Generic Pharma
ORD-00148,Insulin,2500,Medium,186.07,7,0.856,0.933,0.66,94.3,PharmaTrust Global
ORD-00149,Monoclonal Antibody,5000,Medium,5189.19,6,0.903,0.956,1.35,97.7,Pulse Generic Pharma
ORD-00150,Painkiller,5000,Standard,49.61,4,0.951,0.887,0.08,96.8,MediCore Labs
ORD-00151,Insulin,5000,Medium,281.22,7,0.909,0.985,1.24,97.0,Beacon Pharmaceuticals
ORD-00152,Painkiller,5000,Medium,40.65,1,0.851,0.874,0.35,95.2,Beacon Pharmaceuticals
ORD-00153,Antihistamine,5000,High,74.37,6,0.871,0.962,0.83,94.0,Zenith LifeSciences
ORD-00154,Insulin,250,Medium,219.34,7,0.911,0.985,0.84,98.9,OmniHealth Labs
ORD-00155,Painkiller,250,Standard,45.84,7,0.894,0.82,0.87,98.3,Apex BioPharma
ORD-00156,Immunosuppressant,1000,High,421.42,7,0.956,0.782,0.21,95.2,CryoSafe LifeSciences
ORD-00157,Chemotherapy Agent,2500,Medium,512.18,9,0.948,0.906,0.09,96.6,GlobalRx Supply Chain
ORD-00158,Vaccine,1000,Standard,305.19,6,0.968,0.909,1.02,97.0,OmniHealth Labs
ORD-00159,Immunosuppressant,100,High,410.16,5,0.928,0.796,0.48,91.1,Quantum Health Sciences
ORD-00160,Painkiller,100,Standard,40.95,8,0.847,0.809,0.86,97.1,Apex BioPharma
ORD-00161,Vaccine,500,Standard,346.04,4,0.953,0.928,0.97,97.2,Vanguard Pharma
ORD-00162,Painkiller,1000,Standard,45.16,4,0.914,0.825,0.38,99.2,MediCore Labs
ORD-00163,Cardiovascular Drug,1000,Medium,190.56,7,0.859,0.885,0.56,98.3,NovaCure Therapeutics
ORD-00164,Insulin,2500,High,220.95,7,0.996,0.997,0.4,97.6,VitalCare Pharmaceuticals
ORD-00165,Monoclonal Antibody,2500,Medium,3728.58,1,0.871,0.954,0.82,91.4,VitalCare Pharmaceuticals
ORD-00166,Monoclonal Antibody,5000,Standard,4368.5,4,0.865,0.906,0.86,93.0,VitalCare Pharmaceuticals
ORD-00167,Immunosuppressant,500,Medium,386.86,6,0.898,0.929,0.41,94.8,OmniHealth Labs
ORD-00168,Insulin,250,Medium,229.89,3,0.929,0.882,0.43,96.9,Apex BioPharma
ORD-00169,Cardiovascular Drug,100,Standard,143.25,7,0.805,0.928,1.06,97.5,Aegis Health Supplies
ORD-00170,Antibiotic,100,Standard,123.09,4,0.853,0.914,1.72,95.1,Zenith LifeSciences
ORD-00171,Cardiovascular Drug,5000,Standard,178.86,5,0.89,0.977,1.05,98.1,Aegis Health Supplies
ORD-00172,Monoclonal Antibody,5000,High,5479.03,10,0.981,0.954,0.7,94.1,CryoSafe LifeSciences
ORD-00173,Painkiller,1000,High,37.86,3,0.918,0.881,0.51,96.0,Beacon Pharmaceuticals
ORD-00174,Antibiotic,1000,Standard,117.41,6,0.912,0.965,0.73,95.7,PharmaTrust Global
ORD-00175,Chemotherapy Agent,5000,Medium,494.84,3,0.929,0.859,0.68,95.9,Bharat BioLogics
ORD-00176,Antibiotic,250,Medium,134.14,7,0.961,0.849,0.17,98.4,BioMatrix International
ORD-00177,Painkiller,5000,High,48.76,4,0.945,0.873,0.4,96.1,MediCore Labs
ORD-00178,Insulin,500,Standard,252.09,7,0.956,0.921,0.51,95.1,VitalCare Pharmaceuticals
ORD-00179,Painkiller,1000,Medium,44.01,8,0.956,0.861,0.01,95.6,MediCore Labs
ORD-00180,Insulin,500,Standard,217.78,7,0.831,0.999,1.14,93.8,PharmaTrust Global
ORD-00181,Chemotherapy Agent,100,Medium,498.77,2,0.855,0.92,0.4,92.9,Bharat BioLogics
ORD-00182,Vaccine,250,Standard,371.12,7,0.967,0.956,1.26,99.3,Vanguard Pharma
ORD-00183,Antibiotic,5000,High,133.1,4,0.912,0.935,0.52,98.5,NovaCure Therapeutics
ORD-00184,Antibiotic,2500,High,121.1,5,0.961,0.85,0.01,99.4,NovaCure Therapeutics
ORD-00185,Vaccine,2500,High,232.11,5,0.942,0.951,0.62,97.3,OmniHealth Labs
ORD-00186,Vaccine,1000,Medium,274.2,5,0.939,0.882,0.43,96.6,OmniHealth Labs
ORD-00187,Immunosuppressant,2500,Standard,396.26,6,0.938,0.951,0.54,94.3,OmniHealth Labs
ORD-00188,Insulin,100,Standard,235.57,5,0.941,0.849,0.55,95.0,Apex BioPharma
ORD-00189,Insulin,500,High,232.02,8,0.955,0.971,0.48,98.2,VitalCare Pharmaceuticals
ORD-00190,Monoclonal Antibody,250,Medium,5158.02,6,0.937,0.959,1.68,93.7,Zenith LifeSciences
ORD-00191,Antihistamine,5000,High,62.33,4,0.914,0.949,0.85,95.2,Zenith LifeSciences
ORD-00192,Vaccine,500,High,326.9,7,0.933,0.94,0.75,96.4,OmniHealth Labs
ORD-00193,Vaccine,5000,High,347.42,6,0.884,0.878,0.94,98.1,Vanguard Pharma
ORD-00194,Painkiller,5000,High,52.7,6,0.887,0.857,0.86,93.6,Serum Horizon Global
ORD-00195,Insulin,5000,Standard,208.01,6,0.813,0.932,0.93,93.0,PharmaTrust Global
ORD-00196,Insulin,2500,High,236.48,6,0.837,0.926,1.21,93.6,PharmaTrust Global
ORD-00197,Immunosuppressant,1000,Medium,400.75,5,0.865,0.948,0.97,100.0,VitalCare Pharmaceuticals
ORD-00198,Immunosuppressant,5000,Standard,393.69,10,0.996,0.799,0.23,94.8,CryoSafe LifeSciences
ORD-00199,Antiviral,5000,High,166.12,7,0.895,0.874,0.01,96.3,Vanguard Pharma
ORD-00200,Antiviral,5000,Standard,209.01,4,0.867,0.914,0.28,95.5,Vanguard Pharma
ORD-00201,Immunosuppressant,5000,Standard,372.14,5,0.964,0.962,0.72,94.7,OmniHealth Labs
ORD-00202,Immunosuppressant,2500,Standard,352.03,3,0.942,0.924,0.94,95.6,OmniHealth Labs
ORD-00203,Immunosuppressant,5000,Standard,398.1,7,0.948,0.884,0.21,93.1,CryoSafe LifeSciences
ORD-00204,Cardiovascular Drug,1000,Medium,150.77,4,0.868,0.975,1.09,98.9,Aegis Health Supplies
ORD-00205,Painkiller,250,Medium,40.46,7,0.935,0.837,0.31,97.2,MediCore Labs
ORD-00206,Insulin,1000,Medium,209.05,4,0.943,0.88,1.35,98.6,OmniHealth Labs
ORD-00207,Antibiotic,1000,Medium,140.89,8,0.907,0.841,1.23,92.4,Zenith LifeSciences
ORD-00208,Antiviral,100,High,202.56,4,0.898,0.938,0.54,97.3,Vanguard Pharma
ORD-00209,Vaccine,5000,High,308.87,8,0.913,0.948,1.12,99.0,Vanguard Pharma
ORD-00210,Insulin,250,Medium,219.75,7,0.845,0.941,0.95,94.2,PharmaTrust Global
ORD-00211,Antibiotic,5000,Standard,124.78,6,1.0,0.981,0.27,98.0,PharmaTrust Global
ORD-00212,Antibiotic,2500,Medium,129.62,6,0.952,0.894,0.9,93.2,Bharat BioLogics
ORD-00213,Antiviral,5000,Standard,215.46,3,0.86,0.905,0.75,96.6,Summit BioSolutions
ORD-00214,Antihistamine,100,Medium,67.64,2,0.914,0.83,0.37,97.9,Aegis Health Supplies
ORD-00215,Antibiotic,5000,High,122.51,5,0.977,0.938,0.31,97.3,NovaCure Therapeutics
ORD-00216,Painkiller,1000,Medium,45.07,8,0.88,0.833,0.65,98.1,Apex BioPharma
ORD-00217,Antiviral,100,High,176.32,7,0.867,0.88,0.29,97.8,Vanguard Pharma
ORD-00218,Cardiovascular Drug,500,Standard,179.97,8,0.802,0.866,0.65,99.6,NovaCure Therapeutics
ORD-00219,Vaccine,2500,High,330.17,5,0.929,0.965,1.34,96.8,Vanguard Pharma
ORD-00220,Insulin,500,Standard,220.04,6,0.976,0.932,0.32,95.6,VitalCare Pharmaceuticals
ORD-00221,Cardiovascular Drug,2500,Standard,162.91,7,0.858,0.953,1.25,97.9,Aegis Health Supplies
ORD-00222,Painkiller,2500,High,45.81,6,0.941,0.858,0.06,98.0,MediCore Labs
ORD-00223,Insulin,5000,Medium,187.96,6,0.958,0.895,0.97,98.0,OmniHealth Labs
ORD-00224,Immunosuppressant,1000,High,345.43,4,0.891,1.0,0.8,95.6,OmniHealth Labs
ORD-00225,Monoclonal Antibody,5000,Standard,5602.46,4,0.993,0.95,1.46,97.2,MediCore Labs
ORD-00226,Antibiotic,250,Standard,105.65,8,0.972,0.908,0.34,96.6,PharmaTrust Global
ORD-00227,Immunosuppressant,1000,Standard,400.7,5,1.0,0.995,0.7,94.0,OmniHealth Labs
ORD-00228,Antihistamine,500,Standard,61.36,3,0.863,0.849,0.49,97.4,Aegis Health Supplies
ORD-00229,Antibiotic,250,Medium,151.25,2,0.936,0.918,0.33,99.1,NovaCure Therapeutics
ORD-00230,Immunosuppressant,5000,Medium,294.87,3,0.895,1.0,0.64,94.8,OmniHealth Labs
ORD-00231,Antiviral,1000,High,213.67,3,0.907,0.88,0.76,96.8,MediCore Labs
ORD-00232,Antihistamine,5000,Medium,64.23,7,0.861,0.945,0.89,100.0,NovaCure Therapeutics
ORD-00233,Antiviral,2500,High,202.66,10,0.903,0.873,0.11,98.8,GlobalRx Supply Chain
ORD-00234,Vaccine,500,High,246.07,5,0.914,0.941,0.41,97.0,OmniHealth Labs
ORD-00235,Cardiovascular Drug,1000,Medium,208.86,7,0.957,0.885,0.67,94.3,Serum Horizon Global
ORD-00236,Antihistamine,2500,High,57.61,3,0.909,0.804,0.05,94.7,Pulse Generic Pharma
ORD-00237,Painkiller,5000,Standard,46.6,1,0.876,0.849,0.28,96.0,Beacon Pharmaceuticals
ORD-00238,Immunosuppressant,2500,High,381.87,6,0.924,0.96,0.58,94.5,OmniHealth Labs
ORD-00239,Vaccine,2500,High,292.68,7,0.912,0.893,0.77,97.5,OmniHealth Labs
ORD-00240,Insulin,1000,Medium,228.43,4,0.927,0.912,0.81,97.4,VitalCare Pharmaceuticals
ORD-00241,Antibiotic,500,High,130.59,2,0.918,0.888,0.46,99.7,NovaCure Therapeutics
ORD-00242,Immunosuppressant,250,High,471.44,8,0.899,0.986,1.05,100.0,VitalCare Pharmaceuticals
ORD-00243,Insulin,250,Standard,249.99,7,1.0,0.824,0.47,95.8,Apex BioPharma
ORD-00244,Chemotherapy Agent,100,High,504.84,6,0.839,0.895,0.83,93.0,Apex BioPharma
ORD-00245,Cardiovascular Drug,5000,High,167.47,7,0.805,0.877,0.36,100.0,NovaCure Therapeutics
ORD-00246,Monoclonal Antibody,100,Medium,5348.97,5,0.866,0.889,0.91,92.3,VitalCare Pharmaceuticals
ORD-00247,Antihistamine,2500,Medium,61.8,4,0.93,0.805,0.11,95.0,Pulse Generic Pharma
ORD-00248,Antibiotic,500,High,141.45,8,0.996,0.986,0.5,97.5,PharmaTrust Global
ORD-00249,Antibiotic,500,High,145.38,7,0.932,0.918,0.94,94.1,Bharat BioLogics
ORD-00250,Chemotherapy Agent,5000,Standard,465.61,5,0.875,0.83,0.4,95.4,Beacon Pharmaceuticals
ORD-00251,Insulin,1000,Medium,232.14,6,0.86,0.93,1.25,94.0,PharmaTrust Global
ORD-00252,Cardiovascular Drug,2500,Standard,155.84,6,0.935,0.967,1.01,98.5,Aegis Health Supplies
ORD-00253,Chemotherapy Agent,1000,High,514.64,1,0.94,0.959,0.87,93.9,Bharat BioLogics
ORD-00254,Antibiotic,250,Medium,145.59,6,0.969,0.872,0.8,99.1,NovaCure Therapeutics
ORD-00255,Chemotherapy Agent,500,Medium,473.87,4,0.923,0.783,0.18,95.3,Beacon Pharmaceuticals
ORD-00256,Painkiller,500,Standard,46.15,2,0.882,0.828,0.46,97.1,Beacon Pharmaceuticals
ORD-00257,Antiviral,1000,Medium,189.25,4,0.933,0.842,0.71,93.7,Pulse Generic Pharma
